"Departamento","Municipio","Cultivo","Topografia","Drenaje","Riego","pH.agua.suelo.2.5.1.0","Materia.organica..MO...","Fosforo..P..Bray.II.mg.kg","Azufre..S..Fosfato.monocalcico.mg.kg","Acidez..Al.H..KCL.cmol....kg","Aluminio..Al..intercambiable.cmol....kg","Calcio..Ca..intercambiable.cmol....kg","Magnesio..Mg..intercambiable.cmol....kg","Potasio..K..intercambiable.cmol....kg","Sodio..Na..intercambiable.cmol....kg","capacidad.de.intercambio.cationico..CICE..suma.de.bases.cmol....kg","Conductividad.el.ctrica..CE..relacion.2.5.1.0.dS.m","Hierro..Fe..disponible.olsen.mg.kg","Cobre..Cu..disponible.mg.kg","Manganeso..Mn..disponible.Olsen.mg.kg","Zinc..Zn..disponible.Olsen.mg.kg","Boro..B..disponible.mg.kg"
"CUNDINAMARCA","LENGUAZAQUE","Papa de año","Ondulado","No indica","No cuenta con riego",4.82,5.94150375457495,293.268230016313,6.93421052631579,3.25779518808997,2.47019978271372,2.05109678,0.42017063,0.660923928,0.11214868,6.50213520608997,0.2980176,1882.816,2.347,9.396,1.391,0.281115879828326
"CUNDINAMARCA","COGUA","Papa de año","Pendiente","No indica","No cuenta con riego",5.12,17.758336236379,27.0364477977161,6.80263157894737,4.11127507762153,3.21227626064829,1.00161417,0.28946697,0.1012824,0.23329222,5.73693083762153,0.1595768,528.55,3.557,15.44,4.592,0.109442060085837
"CUNDINAMARCA","LA CALERA","Papa de año","Ondulado","No indica","No cuenta con riego",4.9,8.70332201191679,35.897336867863,6.67105263157895,2.43554017256567,1.80944675441581,1.41332667,0.3819733,0.346554612,0.12851167,4.70590642456567,0.359312,818.265,4.489,19.224,2.569,0.152360515021459
"CUNDINAMARCA","LA CALERA","Papa de año","Ondulado","No indica","No indica",4.73,3.58051118064882,29.4842862969005,11.0131578947368,2.53962308592317,1.83994304802956,2.16209447,0.98751865,0.4093497,0.10487624,6.20346214592317,0.63408,906.192,1.146,19.54,1.437,0.152360515021459
"CUNDINAMARCA","LA CALERA","Papa de año","Pendiente","No indica","No cuenta con riego",5,16.5584451582829,83.76617862969,13.5131578947368,1.79022610974912,1.23001717575457,3.99218398,1.10410197,1.190574612,0.11444524,8.19153191174912,0.3043584,832.568,4.349,14.275,4.18,0.409871244635193
"CUNDINAMARCA","VILLA DE SAN DIEGO DE UBATÉ","Papa de año","Pendiente","Bueno","No cuenta con riego",4.48,15.5085404649488,264.748764274062,30.0657894736842,5.74537681733439,4.62527119808535,2.04835203,0.45565251,0.3249477,0.10219692,8.67652597733439,0.7519132,1301.118,3.958,17.03,6.748,0.238197424892704
"CUNDINAMARCA","LA CALERA","Papa de año","Ondulado","No indica","No cuenta con riego",4.78,15.327522414374,31.388160685155,3.25,4.45474869170131,3.49690833437662,2.01530524,0.58798544,0.248648292,0.1684144,7.47510206370131,0.2462344,741.951,1.623,11.106,4.487,0.130901287553648
"CUNDINAMARCA","LA CALERA","Papa de año","Ondulado","No indica","No indica",5.08,15.77748156866,7.62551794453507,2.85526315789474,1.19695350361133,0.904723377207905,2.79536319,0.66944894,0.211905288,0.11817715,4.99184807161133,0.31704,570.889,3.243,10.735,3.187,0.0879828326180258
"CUNDINAMARCA","LA CALERA","Papa de año","Plano","No indica","No indica",5.32,8.33094202216284,5.86479200652528,4.30263157894737,0.489189692780284,0.345624660955829,5.61334312,1.15207492,0.956556,0.12171768,8.33288141278028,0.6150576,411.807,2.787,7.659,2.134,0.109442060085837
"CUNDINAMARCA","LA CALERA","Papa de año","Plano","No indica","No cuenta con riego",5.41,12.4726091595937,11.3903221859706,15.3552631578947,1.20736179494708,0.894557946003322,2.97585795,0.83961714,0.578772648,0.12286596,5.72447549294708,0.2472912,584.584,1.977,4.327,2.332,0.130901287553648
"CUNDINAMARCA","LA CALERA","Papa de año","Plano","No indica","No cuenta con riego",4.65,15.8085132344729,24.8605913539967,7.06578947368421,2.86228011733145,2.11440969055331,2.96751391,0.76811029,0.515246076,0.15798419,7.27113458333145,0.6457048,906.381,2.36,8.156,3.896,0.259656652360515
"CUNDINAMARCA","LA CALERA","Papa de año","Ondulado","No indica","No cuenta con riego",5.26,8.16955150021461,36.2981525285481,11.4078947368421,0.843071598195808,0.47777526661541,8.78660349,1.6220288,1.081077084,0.26132939,12.5941103621958,0.5040936,908.376,1.662,7.582,3.306,0.216738197424893
"CUNDINAMARCA","LA CALERA","Papa de año","Ondulado","No indica","No cuenta con riego",5.24,10.465894770364,48.6232340946166,4.69736842105263,2.16492459783615,1.44349123105081,4.64993587,1.2581585,0.583105284,0.12583235,8.78195660183615,0.258916,1324.134,2.756,17.819,3.994,0.195278969957081
"CUNDINAMARCA","VILLA DE SAN DIEGO DE UBATÉ","Papa de año","Pendiente","Bueno","No cuenta con riego",4.9,16.3825990520102,50.8706647634584,18.7763157894737,2.50839821191592,1.24018260695915,7.14304719,0.78078239,0.731596536,0.15099882,11.3148231479159,0.797884,1074.36,1.457,5.468,3.276,0.0879828326180258
"CUNDINAMARCA","VILLA DE SAN DIEGO DE UBATÉ","Papa de año","Pendiente","Bueno","No cuenta con riego",4.66,6.57142071085388,276.233564437194,18.9078947368421,4.74618084910233,3.66972066485453,3.40941866,0.68447443,0.254556432,0.13454014,9.22917051110232,0.3212672,1307.964,2.903,9.593,2.65,0.195278969957081
"CUNDINAMARCA","VILLA DE SAN DIEGO DE UBATÉ","Papa de año","Pendiente","Bueno","No cuenta con riego",4.88,1.95393469762633,238.299225122349,12.3289473684211,4.78781401444533,4.03567618821953,4.53333889,1.83329081,0.356907924,0.20936972,11.7207213584453,0.1838832,464.189,1.217,4.674,2.302,0.130901287553648
"CUNDINAMARCA","VILLA DE SAN DIEGO DE UBATÉ","Arveja","Pendiente","Bueno","No cuenta con riego",4.61,6.276619885632,135.714751223491,23.9078947368421,3.16412056606822,2.42953805789538,4.26687856,0.8725646,0.612308376,0.19913089,9.11500299206822,0.5173036,1512.21,2.136,7.371,2.299,0.0879828326180258
"CUNDINAMARCA","VILLA DE SAN DIEGO DE UBATÉ","Papa de año","Pendiente","Bueno","No cuenta con riego",5.4,14.2672738324356,43.6846125611746,17.7236842105263,1.19695350361133,0.803069065162073,5.15804399,2.05994037,1.384530408,0.1282246,9.92769287161133,0.4538956,762.718,1.519,4.366,3.08,0.324034334763948
"CUNDINAMARCA","VILLA DE SAN DIEGO DE UBATÉ","Pastos","Pendiente","Bueno","No cuenta con riego",4.67,11.6037225168344,108.187304241436,19.3026315789474,2.09206655848589,1.53498011189206,4.84426417,0.76811029,0.523179864,0.10803401,8.33565489248589,1.4911448,643.511,1.356,7.003,4.686,0.109442060085837
"CUNDINAMARCA","VILLA DE SAN DIEGO DE UBATÉ","Papa de año","Pendiente","Bueno","No cuenta con riego",4.44,5.74755584324477,444.28984502447,27.8552631578947,3.80943462888476,2.86665159969246,4.09747259,0.64826843,0.705375648,0.14908502,9.40963631688476,0.4311744,1764.179,4.532,16.028,9.385,0.281115879828326
"CUNDINAMARCA","TENJO","Zanahoria","Plano","Bueno","Aspersión",5.4,16.3251614992785,27.0816203693954,42.5279329608939,0.337475852600066,0.181427018357795,6.2613237,1.68756166,0.615178044,0.20219297,9.10373222660007,1.0557432,99.634,2.143,3.492,8.847,0.893518518518518
"CUNDINAMARCA","TAUSA","Papa de año","Pendiente","No indica","No cuenta con riego",5.1,9.51324975374694,50.5885596950488,5.57262569832402,2.94728911270724,2.38122961594606,1.99411577,0.58997677,0.38937456,0.13654963,6.05730584270724,0.2710692,740.619,1.377,9.638,1.755,0.291666666666667
"CUNDINAMARCA","TAUSA","Papa de año","Pendiente","No indica","No cuenta con riego",4.88,21.1774821947256,98.5042768991007,4.45530726256983,5.6358467384211,4.5016578930028,2.71993746,0.54182279,0.465167556,0.12047371,9.4832482544211,0.4258904,970.305,1.153,8.911,5.769,0.430555555555556
"CUNDINAMARCA","TAUSA","Papa de año","Pendiente","No indica","No cuenta con riego",4.84,9.56236231139316,150.51522818693,43.9245810055866,3.01478428322725,2.31319448406189,3.4320354,0.69497417,0.18343368,0.15013761,7.47536514322725,0.612944,889.779,1.748,5.056,1.648,0.361111111111111
"CUNDINAMARCA","TAUSA","Papa de año","Pendiente","No indica","No cuenta con riego",4.82,9.09088175798939,114.545175747109,41.1312849162011,3.13852542918061,2.38122961594606,3.67445172,0.73588695,0.181576836,0.20908265,7.93952358518061,0.5981488,999.086,1.828,4.846,1.879,0.361111111111111
"CUNDINAMARCA","TAUSA","Papa de año","Pendiente","No indica","No cuenta con riego",4.93,11.0062715061922,85.1097567550492,11.0195530726257,3.05978106357393,2.26783772947244,2.76923317,0.35391365,0.084345732,0.13444445,6.40171806557393,0.2129452,841.029,1.175,5.415,1.107,0.476851851851852
"CUNDINAMARCA","TAUSA","Papa de año","Plano","No indica","No cuenta con riego",5.21,11.1486979233663,55.8073959101152,12.1368715083799,2.01360592051373,1.33802426038874,3.0609452,0.91329635,0.881494488,0.13932464,7.00866659851373,0.3941864,1129.212,2.134,4.111,3.208,0.337962962962963
"CUNDINAMARCA","TAUSA","Papa de año","Plano","No indica","No cuenta con riego",5.18,21.0448782890808,32.1969669144747,5.43296089385475,3.80222793929407,2.86881472778264,1.8708216,0.45166985,0.42819948,0.13147806,6.68439692929407,0.3307784,427.471,1.62,5.154,1.847,0.314814814814815
"CUNDINAMARCA","CHÍA","Papa de año","Plano","Bueno","No indica",5.26,12.9458608380907,40.4480028688524,42.9073033707865,0.168435601134849,0.104860567177114,5.46183292,2.35954502,0.720736812,0.4085963,9.11914665313485,2.856002,411.917,1.481,6.006,14.782,0.450747581354442
"META","GRANADA","Cacao","Plano","Bueno","No indica",4.76,1.50415341709691,19.5318553278688,3.10393258426966,1.31590313386601,1.04860567177114,3.15635271,0.68012971,0.226366164,0.10229261,5.48104432786601,0.4132088,381.392,2.515,13.892,2.063,0.186895338610378
"META","GRANADA","Citricos","Plano","Bueno","No indica",5.32,1.62552071074489,55.1497241803279,1.69943820224719,0.642160729326613,0.503330722450147,2.25925862,0.56246021,0.242627616,0.12267458,3.82918175532661,0.1949796,295.02,2.107,5.225,1.37,0.186895338610378
"META","GRANADA","Cacao","Plano","Bueno","No indica",5.25,2.08914377248019,27.1991913934426,6.75561797752809,0.54741570368826,0.440414382143879,3.50427722,0.69805168,0.094699044,0.15549625,4.99993989768826,0.2187576,519.134,4.241,12.702,1.577,0.208883025505717
"META","GRANADA","Cacao","Plano","Bueno","No indica",4.86,1.88767406502454,29.457675,6.1938202247191,1.58961098571014,1.36318737330248,2.10665052,0.57096862,0.110622888,0.16429973,4.54215274371014,0.2018488,641.267,3.46,11.273,2.39,0.252858399296394
